address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,listed_in(type),listed_in(city),approx_cost
"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Jalsa,Yes,Yes,4.1,775,banashankari,Casual Dining,"north indian, mughlai, chinese",Buffet,Banashankari,800.0
"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",Spice Elephant,Yes,No,4.1,787,banashankari,Casual Dining,"chinese, north indian, thai",Buffet,Banashankari,800.0
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8,918,banashankari,"Cafe, Casual Dining","cafe, mexican, italian",Buffet,Banashankari,800.0
"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",Addhuri Udupi Bhojana,No,No,3.7,88,banashankari,Quick Bites,"south indian, north indian",Buffet,Banashankari,300.0
"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",Grand Village,No,No,3.8,166,basavanagudi,Casual Dining,"north indian, rajasthani",Buffet,Banashankari,600.0
"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Timepass Dinner,Yes,No,3.8,286,basavanagudi,Casual Dining,north indian,Buffet,Banashankari,600.0
"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,mysore road,Casual Dining,"north indian, south indian, andhra, chinese",Buffet,Banashankari,800.0
"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,Yes,Yes,4.6,2556,banashankari,"Casual Dining, Cafe","pizza, cafe, italian",Cafes,Banashankari,600.0
"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",Penthouse Cafe,Yes,No,4.0,324,banashankari,Cafe,"cafe, italian, continental",Cafes,Banashankari,700.0
"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,Yes,No,4.2,504,banashankari,Cafe,"cafe, mexican, italian, momos, beverages",Cafes,Banashankari,550.0
"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,banashankari,Cafe,cafe,Cafes,Banashankari,500.0
"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,Yes,Yes,4.2,150,banashankari,Cafe,"cafe, italian, continental",Cafes,Banashankari,600.0
"6th Block, 3rd Stage, Banashankari, Bangalore",The Coffee Shack,Yes,Yes,4.2,164,banashankari,Cafe,"cafe, chinese, continental, italian",Cafes,Banashankari,500.0
"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Caf-Eleven,No,No,4.0,424,banashankari,Cafe,"cafe, continental",Cafes,Banashankari,450.0
"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,Yes,No,3.8,90,banashankari,Cafe,cafe,Cafes,Banashankari,650.0
"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Catch-up-ino,Yes,No,3.9,133,banashankari,Cafe,"cafe, fast food, continental, chinese, momos",Cafes,Banashankari,800.0
"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,Yes,No,3.8,144,banashankari,Cafe,"chinese, cafe, italian",Cafes,Banashankari,700.0
"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",T3H Cafe,No,No,3.9,93,banashankari,Cafe,"cafe, italian, american",Cafes,Banashankari,300.0
"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",360 Atoms Restaurant And Cafe,Yes,No,3.1,13,banashankari,Cafe,"cafe, chinese, continental, italian",Cafes,Banashankari,400.0
"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,Yes,No,3.0,62,banashankari,Cafe,"cafe, french, north indian",Cafes,Banashankari,400.0
"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Woodee Pizza,Yes,No,3.7,180,banashankari,Cafe,"cafe, pizza, fast food, beverages",Cafes,Banashankari,500.0
"SRF Complex, Near BDA Complex, Kathreguppe Main Road, Banashankari, Bangalore",Cafe Coffee Day,No,No,3.6,28,banashankari,Cafe,"cafe, fast food",Cafes,Banashankari,900.0
"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,Yes,No,3.6,62,banashankari,"Quick Bites, Cafe","italian, fast food, cafe, european",Cafes,Banashankari,600.0
"775/1, Opposite Gupta Collage, 7th Block, 3rd Stage, Banashankari, Bangalore",Hide Out Cafe,No,No,3.7,31,banashankari,Cafe,cafe,Cafes,Banashankari,300.0
"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,No,No,3.2,11,banashankari,Cafe,"cafe, bakery",Cafes,Banashankari,600.0
"27th Cross Rd, Banashankari Stage II, Banashankari, Bangalore",Coffee Tindi,Yes,No,3.8,75,banashankari,"Cafe, Quick Bites","cafe, south indian",Cafes,Banashankari,200.0
"1036, Srinidhi Plaza, 3rd floor, Above Nilgiris, Stage 2, Banashankari, Bangalore",Sea Green Cafe,No,No,3.3,4,banashankari,Cafe,"cafe, fast food, beverages",Cafes,Banashankari,500.0
"940, Shantha Complex, 20th Main, 2nd Stage, Banashankari, Bangalore",Cuppa,No,No,3.3,23,banashankari,Cafe,"cafe, fast food",Cafes,Banashankari,550.0
"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,No,No,3.8,148,basavanagudi,"Casual Dining, Cafe","north indian, cafe, chinese, fast food",Cafes,Banashankari,550.0
"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,Yes,No,4.0,219,basavanagudi,Cafe,"cafe, italian",Cafes,Banashankari,600.0
"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,Yes,No,2.8,506,banashankari,Quick Bites,"north indian, fast food, chinese, burger",Delivery,Banashankari,500.0
"101 Ground Floor, Manjunatha Complex, 22nd Main Road, Banashankari, Bangalore",Sweet Truth,Yes,No,3.9,35,banashankari,Delivery,"bakery, desserts",Delivery,Banashankari,500.0
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,Yes,No,3.9,172,banashankari,Delivery,pizza,Delivery,Banashankari,750.0
"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,Yes,No,4.2,415,banashankari,Quick Bites,"north indian, biryani, fast food",Delivery,Banashankari,500.0
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Behrouz Biryani,Yes,No,3.9,230,banashankari,Delivery,biryani,Delivery,Banashankari,650.0
"32, 7th Main Road, Dwaraka Nagar,Near PES College, Banashankari, Bangalore",Fast And Fresh,Yes,No,2.8,91,banashankari,Quick Bites,"north indian, chinese, fast food",Delivery,Banashankari,400.0
"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,Yes,No,4.2,1647,banashankari,Casual Dining,"chinese, thai, momos",Delivery,Banashankari,600.0
"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,Yes,No,4.4,4884,jayanagar,Casual Dining,"north indian, mughlai, south indian, chinese",Delivery,Banashankari,750.0
"556/A, Water Tank Road, 3rd Stage, Banashankari, Bangalore",Maruthi Davangere Benne Dosa,Yes,No,4.0,17,banashankari,Quick Bites,south indian,Delivery,Banashankari,150.0
