max_df,max_features,min_df,ngram_range,mean_similarity,latency_ms
1.0,3000,5,"(1, 1)",0.7150987427770633,325.9
1.0,5000,5,"(1, 1)",0.7150987427770633,348.3
0.95,3000,5,"(1, 1)",0.7150987427770633,358.5
0.95,8000,5,"(1, 1)",0.7150987427770633,339.4
0.95,10000,5,"(1, 1)",0.7150987427770633,366.8
1.0,2000,5,"(1, 1)",0.7150987427770633,329.5
0.95,2000,5,"(1, 1)",0.7150987427770633,317.5
0.95,5000,5,"(1, 1)",0.7150987427770633,447.7
1.0,8000,5,"(1, 1)",0.7150987427770633,356.4
1.0,10000,5,"(1, 1)",0.7150987427770633,325.3
1.0,8000,3,"(1, 1)",0.7046061243013823,313.3
0.95,2000,3,"(1, 1)",0.7046061243013823,324.4
1.0,5000,3,"(1, 1)",0.7046061243013823,319.9
0.95,5000,3,"(1, 1)",0.7046061243013823,353.8
1.0,3000,3,"(1, 1)",0.7046061243013823,322.3
1.0,2000,3,"(1, 1)",0.7046061243013823,334.7
1.0,10000,3,"(1, 1)",0.7046061243013823,313.1
0.95,10000,3,"(1, 1)",0.7046061243013823,383.2
0.95,3000,3,"(1, 1)",0.7046061243013823,316.3
0.95,8000,3,"(1, 1)",0.7046061243013823,355.0
1.0,2000,2,"(1, 1)",0.7020619434285316,510.5
0.95,2000,2,"(1, 1)",0.7020619434285316,347.9
0.95,2000,1,"(1, 1)",0.7018992396864449,393.3
1.0,2000,1,"(1, 1)",0.7018992396864449,417.9
0.95,8000,2,"(1, 1)",0.6881901402222527,330.1
1.0,10000,2,"(1, 1)",0.6881901402222527,391.8
0.95,5000,2,"(1, 1)",0.6881901402222527,333.8
1.0,8000,2,"(1, 1)",0.6881901402222527,472.2
1.0,5000,2,"(1, 1)",0.6881901402222527,322.5
1.0,3000,2,"(1, 1)",0.6881901402222527,788.5
0.95,3000,2,"(1, 1)",0.6881901402222527,366.8
0.95,10000,2,"(1, 1)",0.6881901402222527,345.1
1.0,3000,1,"(1, 1)",0.6868313779809999,342.9
0.95,3000,1,"(1, 1)",0.6868313779809999,463.1
1.0,5000,1,"(1, 1)",0.6631693593071298,315.6
0.95,5000,1,"(1, 1)",0.6631693593071298,388.6
0.95,8000,1,"(1, 1)",0.6415439787051053,358.2
1.0,10000,1,"(1, 1)",0.6415439787051053,334.5
1.0,8000,1,"(1, 1)",0.6415439787051053,342.9
0.95,10000,1,"(1, 1)",0.6415439787051053,380.4
0.95,2000,5,"(1, 2)",0.5313850098711673,423.0
1.0,2000,5,"(1, 2)",0.5313850098711673,416.1
0.95,2000,3,"(1, 2)",0.5308713816990205,439.8
1.0,2000,3,"(1, 2)",0.5308713816990205,439.5
0.95,2000,2,"(1, 2)",0.5293665731705125,441.1
1.0,2000,2,"(1, 2)",0.5293665731705125,498.7
1.0,2000,1,"(1, 2)",0.5293665731705125,496.3
0.95,2000,1,"(1, 2)",0.5293665731705125,470.0
1.0,3000,1,"(1, 2)",0.5229430972704223,828.2
1.0,3000,3,"(1, 2)",0.5229430972704223,407.0
0.95,3000,1,"(1, 2)",0.5229430972704223,481.7
0.95,3000,3,"(1, 2)",0.5229430972704223,422.9
1.0,3000,2,"(1, 2)",0.5200979721958625,509.5
0.95,3000,2,"(1, 2)",0.5200979721958625,419.9
1.0,3000,5,"(1, 2)",0.5197308218714297,431.0
